394329	350	0	0
394330	350	0	50
394331	400	0	0
394333	400	0	100
394332	400	0	50
394334	450	0	0
394336	450	0	100
394337	450	0	150
394335	450	0	50
394338	500	0	0
394340	500	0	100
394341	500	0	150
394342	500	0	175
394339	500	0	50
394343	550	0	0
394345	550	0	100
394346	550	0	150
394347	550	0	175
394751	550	0	200
394752	550	0	250
394344	550	0	50
394348	600	0	0
394350	600	0	100
394351	600	0	150
394352	600	0	175
394753	600	0	200
394754	600	0	250
394349	600	0	50
394353	650	0	0
394355	650	0	100
394356	650	0	150
394755	650	0	175
394756	650	0	200
394757	650	0	250
394354	650	0	50
394357	700	0	0
394758	700	0	100
394759	700	0	150
394760	700	0	175
394761	700	0	200
394358	700	0	50
394762	750	0	0
394764	750	0	100
394765	750	0	150
394763	750	0	50
394766	800	0	0
394768	800	0	100
394769	800	0	150
394767	800	0	50
394770	850	0	0
394771	850	0	50
